类型,模型ID,计价方式,单价(CNY),时长范围,支持比例,5秒价,10秒价,状态
图像,gpt-image-2,per_call,0.06,,,,,available
图像,ph-gpt-image-2,per_call,0.08,,,,,available
图像,banana2-S,per_call,0.09,,,,,available
图像,ph-gpt-image-2k,per_call,0.1,,,,,available
图像,ph-gpt-image-4k,per_call,0.1,,,,,available
图像,banana2-S_copy,per_call,0.1,,,,,available
图像,gr-banana-2,per_call,0.12,,,,,available
图像,gr-banana-pro,per_call,0.18,,,,,available
视频,MINIMAX-H3-768p,per_second,0.03,4-15秒,,0.15,0.30,available
视频,me-kuaile1.0,per_second,0.14,5-15秒,16:9/9:16/1:1/4:3/3:4,0.70,1.40,available
视频,wanneng1.1,per_second,0.14,5-15秒,16:9/9:16/1:1/4:3/3:4,0.70,1.40,available
视频,wan3-720p,per_second,0.2,4-30秒,16:9/9:16/1:1/4:3/3:4/21:9,1.00,2.00,available
视频,video-sd25-480p,per_second,0.3,4-30秒,16:9/9:16/1:1/4:3/3:4/21:9,1.50,3.00,available
视频,video-2.0-933-720P,per_second,0.3,4-15秒,16:9/9:16/1:1/4:3/3:4/21:9,1.50,3.00,available
视频,video-2.0-933-720P-mx,per_second,0.38,4-15秒,16:9/9:16/1:1/4:3/3:4/21:9,1.90,3.80,available
视频,video-sd25-720p,per_second,0.4,4-30秒,16:9/9:16/1:1/4:3/3:4/21:9,2.00,4.00,available
视频,video-ds-2.5-480,per_second,0.43,4-29秒,16:9/9:16/1:1/4:3/3:4/21:9,2.15,4.30,available
视频,video-ds-2.5,per_second,0.53,4-29秒,16:9/9:16/1:1/4:3/3:4/21:9,2.65,5.30,available
视频,video-2.0-933-1080P,per_second,0.55,4-15秒,16:9/9:16/1:1/4:3/3:4/21:9,2.75,5.50,available
视频,veo-omni-z,per_call,0.8,10-10秒,1280x720/720x1280,0.8,0.8,available
视频,sd2.0-c4-mini-480p,per_call,1.3,4-15秒,16:9/9:16/1:1/4:3/3:4/21:9,1.3,1.3,available
视频,hailuo-h3,per_call,1.8,4-15秒,16:9/9:16/1:1/4:3/3:4/21:9,1.8,1.8,available
视频,sd2-hn2-480-pro,per_call,2.6,4-15秒,16:9/9:16/1:1/4:3/3:4/21:9,2.6,2.6,available
视频,hnsd2-fast-933-720p,per_call,2.8,4-15秒,16:9/9:16/1:1/4:3/3:4/21:9,2.8,2.8,available
视频,seedance2.0-9tu-manxue,per_call,2.8,4-15秒,16:9/9:16/21:9,2.8,2.8,available
视频,sdquan-fast,per_call,3.5,4-15秒,16:9/9:16/4:3/3:4/1:1/21:9,3.5,3.5,available
视频,seedance-2.0-930,per_call,4.5,15-15秒,16:9/9:16,4.5,4.5,available
视频,video-standard-720p,per_call,4.8,15-15秒,16:9/9:16/21:9,4.8,4.8,available
视频,sdquan-2,per_call,5.8,15-15秒,16:9/9:16/4:3/3:4/1:1/21:9,5.8,5.8,available
